Country_Region,Last_Update,Confirmed,Deaths
Netherlands,2022-12-06 04:21:03,562092,2202
Netherlands,2022-12-06 04:21:03,1298004,3776
Netherlands,2022-12-06 04:21:03,1405263,3495
Netherlands,2022-12-06 04:21:03,595877,1456
Netherlands,2022-12-06 04:21:03,10954,89
Netherlands,2022-12-06 04:21:03,0,0
Netherlands,2022-12-06 04:21:03,703370,1571
Netherlands,2022-12-06 04:21:03,179048,402
Netherlands,2022-12-06 04:21:03,1792199,5286
New Zealand,2022-12-06 04:21:03,6389,1
New Zealand,2022-12-06 04:21:03,172,0
New Zealand,2022-12-06 04:21:03,1979614,2235
Nicaragua,2022-12-06 04:21:03,15250,245
Niger,2022-12-06 04:21:03,9434,314
Nigeria,2022-12-06 04:21:03,266283,3155
North Macedonia,2022-12-06 04:21:03,344872,9591
Norway,2022-12-06 04:21:03,1469778,4439
Oman,2022-12-06 04:21:03,399119,4628
Pakistan,2022-12-06 04:21:03,44336,793
Pakistan,2022-12-06 04:21:03,36026,378
Pakistan,2022-12-06 04:21:03,12085,191
Pakistan,2022-12-06 04:21:03,139630,1031
Pakistan,2022-12-06 04:21:03,224762,6373
Pakistan,2022-12-06 04:21:03,523174,13616
Pakistan,2022-12-06 04:21:03,595341,8250
Palau,2022-12-06 04:21:03,5896,7
Panama,2022-12-06 04:21:03,1009252,8533
Papua New Guinea,2022-12-06 04:21:03,46247,668
Paraguay,2022-12-06 04:21:03,777525,19630
Peru,2022-12-06 04:21:03,50107,1377
Peru,2022-12-06 04:21:03,150853,7376
Peru,2022-12-06 04:21:03,44592,1676
Peru,2022-12-06 04:21:03,271943,10619
Peru,2022-12-06 04:21:03,54119,2386
Peru,2022-12-06 04:21:03,109382,4555
Peru,2022-12-06 04:21:03,162850,10682
Peru,2022-12-06 04:21:03,137842,5321
Peru,2022-12-06 04:21:03,29094,1311
Peru,2022-12-06 04:21:03,58493,2956
Peru,2022-12-06 04:21:03,120560,9066
Peru,2022-12-06 04:21:03,147972,7653
Peru,2022-12-06 04:21:03,170320,11055
Peru,2022-12-06 04:21:03,121638,9355
Peru,2022-12-06 04:21:03,1971881,95176
Peru,2022-12-06 04:21:03,63474,4437
Peru,2022-12-06 04:21:03,20526,883
Peru,2022-12-06 04:21:03,59850,1686
Peru,2022-12-06 04:21:03,27566,1133
Peru,2022-12-06 04:21:03,174542,13264
Peru,2022-12-06 04:21:03,75258,4948
Peru,2022-12-06 04:21:03,67640,3229
Peru,2022-12-06 04:21:03,61241,2199
Peru,2022-12-06 04:21:03,31817,1732
Peru,2022-12-06 04:21:03,43886,3295
Peru,2022-12-06 04:21:03,73130,126
Philippines,2022-12-06 04:21:03,4042182,64750
Poland,2022-12-06 04:21:03,6354511,118340
Portugal,2022-12-06 04:21:03,5546290,25517
Qatar,2022-12-06 04:21:03,481296,685
Romania,2022-12-06 04:21:03,3298738,67289
Russia,2022-12-06 04:21:03,54334,1024
Russia,2022-12-06 04:21:03,313914,8841
Russia,2022-12-06 04:21:03,39981,629
Russia,2022-12-06 04:21:03,125405,766
Russia,2022-12-06 04:21:03,270407,1786
Russia,2022-12-06 04:21:03,132382,3101
Russia,2022-12-06 04:21:03,337108,5933
Russia,2022-12-06 04:21:03,163911,2321
Russia,2022-12-06 04:21:03,183988,4126
Russia,2022-12-06 04:21:03,153046,3094
Russia,2022-12-06 04:21:03,46667,1076
Russia,2022-12-06 04:21:03,392818,8157
Russia,2022-12-06 04:21:03,6769,45
Russia,2022-12-06 04:21:03,104351,4692
Russia,2022-12-06 04:21:03,102145,3618
Russia,2022-12-06 04:21:03,43316,553
